Raw file	Experiment	Enzyme	Enzyme mode	Enzyme first search	Enzyme mode first search	Use enzyme first search	Variable modifications	Variable modifications first search	Use variable modifications first search	Multiplicity	Max. missed cleavages	Labels0	LC-MS run type	Time-dependent recalibration	MS	MS/MS	MS/MS Submitted	MS/MS Submitted (SIL)	MS/MS Submitted (ISO)	MS/MS Submitted (PEAK)	MS/MS Identified	MS/MS Identified (SIL)	MS/MS Identified (ISO)	MS/MS Identified (PEAK)	MS/MS Identified [%]	MS/MS Identified (SIL) [%]	MS/MS Identified (ISO) [%]	MS/MS Identified (PEAK) [%]	Peptide Sequences Identified	Peaks	Peaks Sequenced	Peaks Sequenced [%]	Peaks Repeatedly Sequenced	Peaks Repeatedly Sequenced [%]	Isotope Patterns	Isotope Patterns Sequenced	Isotope Patterns Sequenced (z>1)	Isotope Patterns Sequenced [%]	Isotope Patterns Sequenced (z>1) [%]	Isotope Patterns Repeatedly Sequenced	Isotope Patterns Repeatedly Sequenced [%]	Recalibrated	Av. Absolute Mass Deviation [ppm]	Mass Standard Deviation [ppm]	Av. Absolute Mass Deviation [mDa]	Mass Standard Deviation [mDa]	Label free norm param
Lewy2_1Cs_2Nov13_Samwise_13-07-28	1Cs	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)		False	1	2		Standard		6126	38287	40515	36059	0	4456	22455	22113	0	342	55.42	61.32	NaN	7.68	17528	1184990	37645	3.18	268	0.71	162440	35328	31460	21.75	22.38	669	1.89	+	0.66428	0.92147	0.50004	0.72053	
Lewy2_1Ct1_2Nov13_Samwise_13-07-28	1Ct1	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)		False	1	2		Standard		5934	38697	40729	36665	0	4064	22752	22371	0	381	55.86	61.01	NaN	9.38	17722	1233634	38162	3.09	227	0.59	175787	36026	31876	20.49	20.97	573	1.59	+	0.67868	0.94912	0.50628	0.73624	
Lewy2_1Ct2_2Nov13_Samwise_13-07-28	1Ct2	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)		False	1	2		Standard		5904	37963	39955	35971	0	3984	22663	22257	0	406	56.72	61.87	NaN	10.19	17887	1220870	37488	3.07	214	0.57	172690	35342	31465	20.47	21.05	581	1.64	+	0.66988	0.94018	0.49451	0.72101	
Lewy2_2Cs_2Nov13_Samwise_13-07-28	2Cs	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)		False	1	2		Standard		6180	37687	39928	35446	0	4482	22297	21914	0	383	55.84	61.82	NaN	8.55	17472	1208014	37067	3.07	247	0.67	165068	34780	30972	21.07	21.66	614	1.77	+	0.67359	0.94212	0.50091	0.72774	
Lewy2_2Ct1_2Nov13_Samwise_13-07-28	2Ct1	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)		False	1	2		Standard		6018	37878	40062	35694	0	4368	22805	22402	0	403	56.92	62.76	NaN	9.23	17748	1186831	37268	3.14	224	0.6	163060	35045	31204	21.49	21.9	598	1.71	+	0.66683	0.9287	0.49508	0.7159	
Lewy2_2Ct2_2Nov13_Samwise_13-07-28	2Ct2	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)		False	1	2		Standard		6114	37946	39952	35940	0	4012	22705	22323	0	382	56.83	62.11	NaN	9.52	17517	1208903	37368	3.09	270	0.72	166920	35237	31267	21.11	21.72	616	1.75	+	0.66507	0.93298	0.49672	0.72584	
Lewy2_4Cs_2Nov13_Samwise_13-07-28	4Cs	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)		False	1	2		Standard		6092	37984	40114	35854	0	4260	22431	22083	0	348	55.92	61.59	NaN	8.17	17397	1223869	37423	3.06	215	0.57	169254	35250	31391	20.83	21.45	556	1.58	+	0.67179	0.93863	0.49921	0.72395	
Lewy2_4Ct1_2Nov13_Samwise_13-07-28	4Ct1	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)		False	1	2		Standard		6267	36702	38867	34537	0	4330	20779	20418	0	361	53.46	59.12	NaN	8.34	15956	1189749	36096	3.03	265	0.73	161783	33852	30128	20.92	21.74	622	1.84	+	0.68473	0.95759	0.50553	0.73747	
Lewy2_4Ct2_2Nov13_Samwise_13-07-28	4Ct2	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)		False	1	2		Standard		5955	38341	40509	36173	0	4336	23320	22919	0	401	57.57	63.36	NaN	9.25	18143	1234602	37871	3.07	179	0.47	172172	35609	31739	20.68	21.26	537	1.51	+	0.67037	0.93713	0.49989	0.73151	
Lewy2_5Cs_2Nov13_Samwise_13-07-28	5Cs	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)		False	1	2		Standard		6135	37503	39652	35354	0	4298	21679	21305	0	374	54.67	60.26	NaN	8.7	16732	1197704	36929	3.08	233	0.63	165330	34696	30724	20.99	21.56	612	1.76	+	0.67902	0.95127	0.50447	0.73486	
Lewy2_5Ct1_2Nov13_Samwise_13-07-28	5Ct1	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)		False	1	2		Standard		6052	37900	39935	35865	0	4070	23016	22667	0	349	57.63	63.2	NaN	8.57	18040	1192261	37407	3.14	200	0.53	165914	35240	31576	21.24	21.72	589	1.67	+	0.66463	0.93149	0.49059	0.71381	
Lewy2_5Ct2_2Nov13_Samwise_13-07-28	5Ct2	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)		False	1	2		Standard		5990	38085	40251	35919	0	4332	23127	22752	0	375	57.46	63.34	NaN	8.66	17945	1220719	37537	3.07	200	0.53	167066	35303	31674	21.13	21.61	576	1.63	+	0.66016	0.92383	0.49123	0.71645	
Lewy2_6Cs_2Nov13_Samwise_13-07-28	6Cs	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)		False	1	2		Standard		6055	38446	40608	36284	0	4324	23194	22810	0	384	57.12	62.87	NaN	8.88	18100	1206067	37917	3.14	198	0.52	165759	35649	31819	21.51	21.93	586	1.64	+	0.65664	0.91904	0.48895	0.70863	
Lewy2_6Ct1_2Nov13_Samwise_13-07-28	6Ct1	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)		False	1	2		Standard		6016	37930	40037	35823	0	4214	22544	22182	0	362	56.31	61.92	NaN	8.59	17390	1227964	37423	3.05	209	0.56	170844	35213	31235	20.61	21.13	576	1.64	+	0.67187	0.93522	0.4989	0.72356	
Lewy2_6Ct2_2Nov13_Samwise_13-07-28	6Ct2	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)		False	1	2		Standard		6140	38060	40244	35876	0	4368	22866	22486	0	380	56.82	62.68	NaN	8.7	17695	1198265	37480	3.13	228	0.61	162948	35196	31425	21.6	22.01	632	1.8	+	0.66019	0.92479	0.49215	0.71613	
Lewy2_7Cs_2Nov13_Samwise_13-07-28	7Cs	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)		False	1	2		Standard		5968	38182	40222	36142	0	4080	22862	22471	0	391	56.84	62.17	NaN	9.58	17722	1216274	37676	3.1	200	0.53	170335	35532	31736	20.86	21.42	576	1.62	+	0.66317	0.93024	0.49179	0.71868	
